username,password,role
alice,alicepass123,intern
bob,bobpass123,manager
carol,carolpass123,admin
dave,davepass123,intern
eve,evepass123,manager
rituraj,rituraj123,admin
shreeyans,shree123,manager
prakhar,prakhar123,manager
abinaash,abin123,intern
aryan,aryan123,intern
aditya,aditya123,intern
rohan,rohan123,intern
ankit,ankit123,intern
rahul,rahul123,manager
vivek,vivek123,manager
aman,aman123,intern
yash,yash123,intern
harsh,harsh123,manager
karan,karan123,intern
shivam,shivam123,intern
deepak,deepak123,manager
sachin,sachin123,intern
naman,naman123,intern
vishal,vishal123,manager
manav,manav123,intern
tanish,tanish123,intern
akhilendra,akhil123,manager 
satyarth,satyarth123,intern
saurabh,saurabh123,intern
pratik,pratik123,manager
siddharth,siddharth123,intern
sahil,sahil123,intern
anirudh,anirudh123,manager
satyam,satyam123,intern
priyanshu,priyanshu123,intern
nikhil,nikhil123,manager
sumeet,sumeet123,intern
sanjay,sanjay123,intern
vijay,vijay123,manager
kumar,kumar123,intern
suresh,suresh123,intern
ajay,ajay123,manager
vishnu,vishnu123,intern
